acousticness,danceability,duration,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,tempo_confidence,time_signature,valence,name,artist,Like
0.117,0.587,218.14667,218147,0.535,129,6.56E-05,5,0.131,-6.09,0,87,4/27/18,0.0898,159.847,0.347,4,0.14,rockstar (feat. 21 Savage),Post Malone,N
0.4,0.631,305.49333,305493,0.638,130,0.000516,7,0.216,-8.958,1,58,1/31/94,0.0274,133.739,0.484,4,0.812,Cornflake Girl,Tori Amos,N
0.211,0.581,272.50667,272507,0.817,131,1.42E-06,0,0.246,-6.542,1,76,1/1/93,0.0382,141.607,0.852,4,0.779,Mr. Jones,Counting Crows,N
0.859,0.672,226.6,226600,0.52,132,0,8,0.115,-7.747,1,73,11/17/14,0.0353,120.001,0.49,4,0.37,Night Changes,One Direction,N
0.0202,0.579,207.35664,207357,0.558,133,1.26E-06,2,0.212,-6.986,1,71,9/9/13,0.0895,179.949,0.131,4,0.506,Arabella,Arctic Monkeys,Y
8.50E-06,0.214,148.381,148381,0.704,134,0,6,0.307,-5.635,1,27,2/26/16,0.0517,121.52,0.48,4,0.565,Wrestle Y to Hsker D,The Dirty Nil,Y
0.000199,0.782,158.46667,158467,0.793,135,0.000215,7,0.306,-7.054,1,70,6/7/19,0.0399,100.987,0.799,4,0.906,Happy When I'm Sad,Jonas Brothers,N
0.658,0.468,243.80481,243805,0.197,136,0,4,0.109,-11.727,1,70,9/27/17,0.033,144.212,0.032,3,0.249,"Girl Crush - Recorded at Metropolis Studios, London",Harry Styles,N
0.173,0.63,261.42667,261427,0.698,137,0,10,0.0789,-4.51,1,73,9/8/08,0.0244,94.023,0.33,4,0.529,Breakeven,The Script,N
0.781,0.565,230.32,230320,0.245,138,0,5,0.0998,-9.132,1,65,11/13/15,0.0262,75.055,0.065,4,0.307,If I Could Fly,One Direction,N
0.0573,0.622,211.36,211360,0.712,139,0,5,0.13,-7.321,1,82,5/25/18,0.066,140.025,0.461,4,0.487,In My Blood,Shawn Mendes,N
0.524,0.692,190.8,190800,0.809,140,0,2,0.147,-4.198,1,93,5/3/19,0.0602,123.911,0.645,4,0.864,If I Can't Have You,Shawn Mendes,N
0.804,0.671,211.96,211960,0.156,141,0.0518,8,0.113,-16.288,1,66,5/12/17,0.0371,94.08,0.142,4,0.201,From the Dining Table,Harry Styles,N
0.0679,0.696,238.25333,238253,0.602,142,2.11E-05,0,0.0696,-6.156,0,67,11/10/17,0.159,82.989,0.092,4,0.305,I Did Something Bad,Taylor Swift,N
0.000372,0.389,223.17333,223173,0.885,143,0.000311,6,0.202,-5.063,0,64,3/29/19,0.0551,164.989,0.145,4,0.187,Hurricane,I Prevail,N
0.0196,0.598,217.42485,217425,0.872,144,0,6,0.326,-4.567,0,66,1/25/19,0.0328,107.009,0.787,4,0.609,mother tongue,Bring Me The Horizon,N
0.00128,0.296,162.6,162600,0.925,145,0.000315,1,0.0797,-0.783,1,63,7/2/19,0.0767,204.111,0.552,4,0.607,Will We Talk?,Sam Fender,N
1.49E-05,0.423,237.62571,237626,0.792,146,0,5,0.429,-6.227,0,53,12/28/18,0.0396,119.974,0.474,4,0.195,Ways To Disappear,Palisades,N
0.000453,0.372,258.73252,258733,0.865,147,0,2,0.234,-4.918,1,71,10/2/95,0.0381,174.53,0.02,4,0.478,Wonderwall - Remastered,Oasis,N
0.0049,0.551,214.40971,214410,0.896,148,0.00514,11,0.252,-4.905,1,55,3/16/18,0.0443,106.483,0.833,4,0.54,The Heart Is a Muscle - Radio Edit,Gang of Youths,N
0.00462,0.591,229.66667,229667,0.797,149,1.30E-06,2,0.137,-4.675,0,57,2/22/19,0.0297,104.014,0.231,4,0.351,Promise Me,Badflower,N
